date,midday_mean_lmp_usd_per_mwh,evening_mean_lmp_usd_per_mwh,evening_minus_midday_spread_usd_per_mwh,midday_interval_count,evening_interval_count,total_lmp_interval_count,negative_lmp_interval_count,minimum_lmp_usd_per_mwh,maximum_lmp_usd_per_mwh,data_quality_flag
2025-06-04,8.56624,37.68857,29.12232,6,4,24,0,6.86191,48.63373,OK
2025-06-05,15.99770,45.06692,29.06922,6,4,24,0,14.90470,54.16151,OK
2025-06-06,15.92572,42.15842,26.23269,6,4,24,0,13.28189,49.36621,OK
2025-06-07,3.58499,39.75162,36.16663,6,4,24,0,2.33170,49.05436,OK
2025-06-08,-0.84233,41.58669,42.42902,6,4,24,7,-6.20003,50.19839,OK
2025-06-09,18.78524,51.19579,32.41055,6,4,24,0,17.64625,60.92636,OK
2025-06-10,19.39048,52.41024,33.01976,6,4,24,0,17.94000,61.94293,OK
2025-06-11,9.82372,43.81053,33.98680,6,4,24,0,7.75941,55.70071,OK
2025-06-12,0.81673,39.27836,38.46163,6,4,24,2,-0.24457,48.05832,OK
2025-06-13,3.95815,33.28209,29.32394,6,4,24,1,-0.33181,41.54392,OK
2025-06-14,-3.00383,35.39267,38.39650,6,4,24,10,-6.98066,46.47279,OK
2025-06-15,-2.13042,39.95152,42.08194,6,4,24,8,-10.62706,49.21104,OK
2025-06-16,9.19019,43.60284,34.41265,6,4,24,0,1.74650,54.24675,OK
2025-06-17,14.39574,44.61310,30.21736,6,4,24,0,7.29767,55.74383,OK
2025-06-18,20.27122,51.04645,30.77523,6,4,24,0,14.37680,61.19195,OK
2025-06-19,18.62068,46.24142,27.62074,6,4,24,0,16.58248,56.50980,OK
2025-06-20,-1.01282,33.06072,34.07354,6,4,24,8,-2.99584,44.41958,OK
2025-06-21,-13.34943,24.25191,37.60134,6,4,24,11,-18.52756,39.79434,OK
2025-06-22,-12.16260,31.19352,43.35612,6,4,24,10,-16.07795,46.09144,OK
2025-06-23,4.91529,35.39332,30.47803,6,4,24,0,2.48942,48.72751,OK
2025-06-24,10.06452,35.05355,24.98903,6,4,24,0,5.58480,46.05355,OK
2025-06-25,17.43689,42.79591,25.35901,6,4,24,0,14.61435,53.10317,OK
2025-06-26,19.36840,42.38569,23.01729,6,4,24,0,15.64000,49.74771,OK
2025-06-27,19.33369,46.27867,26.94498,6,4,24,0,16.55068,56.35224,OK
2025-06-28,10.38305,46.24101,35.85796,6,4,24,0,7.25073,55.20239,OK
2025-06-29,15.20504,51.24175,36.03671,6,4,24,0,11.07108,59.01619,OK
2025-06-30,32.14953,59.19118,27.04164,6,4,24,0,17.23202,68.12323,OK
2025-07-01,31.23332,56.02007,24.78675,6,4,24,0,26.74816,63.88120,OK
2025-07-02,27.41491,48.47436,21.05945,6,4,24,0,24.00798,55.24198,OK
2025-07-03,24.55099,45.03214,20.48116,6,4,24,0,21.98550,50.04139,OK
2025-07-04,7.97685,38.67635,30.69950,6,4,24,0,2.85126,45.67315,OK
