date,fuel_region_id,pricing_hub,interpretation,fuel_price_usd_per_mmbtu,distinct_prices_within_day,raw_hour_rows,source_archives
2025-07-01,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.79,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-02,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.47,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-03,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.25,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-04,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.16,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-05,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.15,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-06,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.15,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-07,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.15,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-08,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.78,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-09,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.96,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-10,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.76,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-11,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.47,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-12,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.24,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-13,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.24,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-14,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.24,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-15,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.4,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-16,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.33,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-17,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.41,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-18,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.27,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-19,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.21,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-20,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.21,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-21,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.21,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-22,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.14,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-23,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.93,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-24,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.74,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-25,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.74,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-26,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.73,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-27,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.73,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-28,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.73,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-29,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.93,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-30,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.93,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-07-31,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.82,1,24,CAISO_PRC_FUEL_2025_07.zip
2025-08-01,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.63,1,24,CAISO_PRC_FUEL_2025_08.zip
2025-08-02,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.57,1,24,CAISO_PRC_FUEL_2025_08.zip
2025-08-03,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.57,1,24,CAISO_PRC_FUEL_2025_08.zip
